API,CODE,EN
social_sign_up,social_login_type_required,"Please enter a value for the social_login_type field."
social_sign_up,social_login_id_required,"Please enter a value for the social_login_id field."
user_sign_up_phone,first_name_minlength,"Please enter minimum 1 character for the first name field."
user_sign_up_phone,first_name_maxlength,"Please enter maximum 80 character for the first name field."
user_sign_up_phone,last_name_minlength,"Please enter minimum 1 character for the last name field."
user_sign_up_phone,last_name_maxlength,"Please enter maximum 80 character for the last name field."
user_sign_up_phone,user_name_alpha_numeric_without_spaces,"Please only enter letters and numbers without space for the user name field."
user_sign_up_phone,user_name_minlength,"Please enter minimum 5 characters for the user name field."
user_sign_up_phone,user_name_maxlength,"Please enter maximum 20 characters for the user name field."
user_sign_up_phone,email_email,"Please enter valid email address for the email field."
user_sign_up_phone,mobile_number_number,"Please enter valid number for the phone number field."
user_sign_up_phone,mobile_number_minlength,"Please enter minimum 10 digits for the phone number field."
user_sign_up_phone,mobile_number_maxlength,"Please enter maximum 13 digits for the phone number field."
user_sign_up_phone,password_minlength,"Please enter minimum 6 characters for the password field."
user_sign_up_phone,password_maxlength,"Please enter maximum 15 characters for the password field."
user_sign_up_phone,zipcode_minlength,"Please enter minimum 5 characters for the zipcode field."
user_sign_up_phone,zipcode_maxlength,"Please enter maximum 10 characters for the zipcode field."
user_sign_up_phone,device_type_required,"Please enter a value for the device_type field."
user_sign_up_phone,device_model_required,"Please enter a value for the device_model field."
user_sign_up_phone,device_os_required,"Please enter a value for the device_os field."
edit_profile,users_finish_success,"Something went wrong, Please try again a while!"
edit_profile,users_finish_success_1,"Invalid user."
states_list,mod_state_finish_success_1,"No states found."
states_list,mod_state_finish_success,"State list found."
user_sign_up_email,first_name_minlength,"Please enter minimum 1 character for the first name field."
user_sign_up_email,first_name_maxlength,"Please enter maximum 80 character for the first name field."
user_sign_up_email,last_name_minlength,"Please enter minimum 1 character for the last name field."
user_sign_up_email,last_name_maxlength,"Please enter maximum 80 character for the last name field."
user_sign_up_email,user_name_alpha_numeric_without_spaces,"Please only enter letters and numbers without space for the user name field."
user_sign_up_email,user_name_minlength,"Please enter minimum 5 characters for the user name field."
user_sign_up_email,user_name_maxlength,"Please enter maximum 80 characters for the user name field."
user_sign_up_email,email_email,"Please enter valid email address for the email field."
user_sign_up_email,mobile_number_number,"Please enter valid number for the phone number field."
user_sign_up_email,mobile_number_minlength,"Please enter minimum 10 digits for the phone number field."
user_sign_up_email,mobile_number_maxlength,"Please enter maximum 13 digits for the phone number field."
user_sign_up_email,password_minlength,"Please enter minimum 6 characters for the password field."
user_sign_up_email,password_maxlength,"Please enter maximum 15 characters for the password field."
user_sign_up_email,zipcode_minlength,"Please enter minimum 5 characters for the zipcode field."
user_sign_up_email,zipcode_maxlength,"Please enter maximum 10 characters for the zipcode field."
user_sign_up_email,device_type_required,"Please enter a value for the device_type field."
user_sign_up_email,device_model_required,"Please enter a value for the device_model field."
user_sign_up_email,device_os_required,"Please enter a value for the device_os field."
user_sign_up_email,users_finish_success_1,"Something went wrong, Please try again a while!"
check_unique_user,finish_success_3,"Please provide phone number."
admin_update_user_status_in_listing,user_id_required,"Please enter a value for the user_id field."
admin_update_user_status_in_listing,users_finish_success,success
edit_profile,users_finish_success_3,"#message# "
edit_profile,user_id_required,"Please enter a value for the user_id field."
edit_profile,first_name_minlength,"Please enter minimum 1 character for the first name field."
edit_profile,first_name_maxlength,"Please enter maximum 80 character for the first name field."
edit_profile,last_name_minlength,"Please enter minimum 1 character for the last name field."
edit_profile,last_name_maxlength,"Please enter maximum 80 character for the last name field."
edit_profile,zipcode_minlength,"Please enter minimum 5 characters for the zipcode field."
edit_profile,zipcode_maxlength,"Please enter maximum 10 characters for the zipcode field."
edit_profile,user_name_alpha_numeric_without_spaces,"Please only enter letters and numbers without space for the user name field."
edit_profile,user_name_minlength,"Please enter minimum 5 characters for the user name field."
edit_profile,user_name_maxlength,"Please enter maximum 80 characters for the user name field."
